code_INSEE;nb_menages_fiscaux_com;nb_personnes_dans_menage_com;Médiane_niv_vie_com;tx_pauvrete_total_com;tx_pauvrete-locataires_com
02367;55;146;20595;;
02368;211;579;21373;;
02369;111;252;17610;;
02370;209;556;19092;;
02371;745;1630;19726;;
02372;140;360;20222;;
02373;86;216;20006;;
02374;361;874;18655;;
02375;53;159;22318;;
02376;67;169;20043;;
02377;57;133;17306;;
02378;57;140;17677;;
02379;85;199;19378;;
02380;;;;;
02381;3788;8062;15208;35;52
02382;580;1428;21718;;
02383;607;1487;22400;;
02384;;;;;
02385;64;159;17296;;
02386;99;228;17170;;
02387;432;1106;22375;;
02388;84;193;17560;;
02389;266;646;20510;;
02390;110;278;19791;;
02391;75;188;18346;;
02392;120;301;21886;;
02393;57;148;19584;;
02395;56;150;20086;;
02396;;;;;
02397;513;1237;19330;;
02398;103;295;19921;;
02399;208;600;20223;;
02400;60;154;20930;;
02401;81;191;18913;;
02402;;;;;
02403;115;280;17847;;
02404;71;185;18973;;
02405;214;539;18161;;
02406;53;142;19851;;
02407;77;195;22243;;
02408;11071;22912;16292;30;41
02409;116;291;17411;;
02410;97;249;24875;;
02411;74;215;19697;;
02412;35;101;15554;;
02413;104;256;21381;;
02414;83;202;17803;;
02415;61;172;24349;;
02416;180;436;17412;;
02417;45;111;18727;;
02418;87;202;22326;;
02419;113;286;20612;;
02420;336;844;22515;;
02421;;;;;
02422;327;786;17950;;
02423;167;426;20486;;
02424;44;101;20819;;
02425;64;176;17702;;
02426;221;556;20901;;
02427;53;133;17717;;
02428;;;;;
02429;43;120;22654;;
02430;512;1144;18315;;
02431;173;406;19322;;
02432;77;181;19918;;
02433;98;234;19263;;
02435;;;;;
02438;108;259;21478;;
02439;443;1181;19505;;
02440;59;161;18932;;
02441;85;194;20909;;
02442;;;;;
02443;78;195;21411;;
02444;49;109;18822;;
02445;123;285;19200;;
02446;41;117;22218;;
02447;53;151;18347;;
02448;46;116;16484;;
02449;;;;;
02450;144;353;17176;;
02451;52;136;19172;;
02452;96;257;22350;;
02453;166;417;19312;;
02454;154;414;18895;;
02455;80;186;20019;;
02456;135;311;18512;;
02457;156;410;19139;;
02458;319;806;20359;;
02459;71;181;23274;;
02460;93;220;18164;;
02461;138;360;19789;;
02462;90;223;19715;;
02463;;;;;
02464;149;382;20959;;
02465;198;508;21885;;
02466;53;133;21939;;
02467;;;;;
02468;950;2198;16619;28;48
02469;191;466;17909;;
02470;177;428;16774;;
02471;50;127;20196;;
02472;171;428;20356;;
02473;80;217;17814;;
02474;154;400;20295;;
02476;264;670;17280;;
02477;405;989;22131;;
02478;109;275;20392;;
02480;124;306;20179;;
02481;188;490;25772;;
02482;;;;;
02483;209;520;21034;;
02484;191;487;20539;;
02485;;;;;
02486;39;103;19543;;
02487;251;649;21695;;
02488;65;151;18867;;
02489;128;350;23393;;
02490;56;128;24950;;
02491;137;340;18585;;
02492;177;473;19819;;
02493;99;244;19668;;
02494;55;130;19808;;
02495;414;1024;19435;;
02496;36;112;21793;;
02497;437;1106;21022;;
02498;315;773;19316;;
02499;;;;;
02500;321;811;16550;;
02501;;;;;
02502;538;1178;16473;;
02503;344;846;17764;;
02504;642;1609;18238;;
02505;81;209;21714;;
02506;81;198;22707;;
02507;;;;;
02508;58;137;21809;;
02509;61;162;19082;;
02510;63;154;22776;;
02511;117;301;19343;;
02512;110;271;20860;;
02513;71;143;19645;;
02514;278;741;19958;;
02515;;;;;
02516;;;;;
02517;127;334;18045;;
